Reference, Value, Footprint, Datasheet
"U9","ADS7042xDCU","Package_SO:VSSOP-8_2.3x2mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads7042.pdf"
"U8","DAC7311IDCKR","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"U11","DAC7311IDCKR","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"C31","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C34","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C27","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C28","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"J3","Conn_Coaxial","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical"," ~"
"J2","Conn_Coaxial","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical"," ~"
"J4","Conn_Coaxial","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical"," ~"
"U4","AD8226ARMZ","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"R1","750R","Resistor_SMD:R_0402_1005Metric","~"
"R2","47k","Resistor_SMD:R_0402_1005Metric","~"
"R3","47k","Resistor_SMD:R_0402_1005Metric","~"
"U7","LMV358A","Package_TO_SOT_SMD:SOT-23-8","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
"R7","100k","Resistor_SMD:R_0402_1005Metric","~"
"R8","2.2M","Resistor_SMD:R_0402_1005Metric","~"
"C20","560pF","Capacitor_SMD:C_0402_1005Metric","~"
"R9","10k","Resistor_SMD:R_0402_1005Metric","~"
"R10","15k","Resistor_SMD:R_0402_1005Metric","~"
"R12","R","Resistor_SMD:R_0402_1005Metric","~"
"C24","C","Capacitor_SMD:C_0402_1005Metric","~"
"R6","1M","Resistor_SMD:R_0402_1005Metric","~"
"U5","LMV358A","Package_TO_SOT_SMD:SOT-23-8","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
"R11","R","Resistor_SMD:R_0402_1005Metric","~"
"C22","C","Capacitor_SMD:C_0402_1005Metric","~"
"U1","AP2210K-3.3TRG1","Package_TO_SOT_SMD:SOT-23-5",""
"C11","100pF","Capacitor_SMD:C_0402_1005Metric","~"
"C13","2.2uF","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105133-0001","~"
"C12","100pF","Capacitor_SMD:C_0402_1005Metric","~"
"C14","2.2uF","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"U2","AP2210K-3.3TRG1","Package_TO_SOT_SMD:SOT-23-5",""
"C6","10nF","Capacitor_SMD:C_0402_1005Metric","~"
"L1","L","Inductor_SMD:L_0201_0603Metric","~"
"C8","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C10","4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
"C1","4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C9","10nF","Capacitor_SMD:C_0402_1005Metric","~"
"U10","ADS7042xDCU","Package_SO:VSSOP-8_2.3x2mm_P0.5mm","http://www.ti.com/lit/ds/symlink/ads7042.pdf"
"C21","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C18","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"U6","LMV358A","Package_TO_SOT_SMD:SOT-23-8","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
"C25","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C23","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"R4","10k","Resistor_SMD:R_0402_1005Metric","~"
"R5","10k","Resistor_SMD:R_0402_1005Metric","~"
"C19","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C17","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"U3","STM32L412kx","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",""
"C32","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C29","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C33","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C30","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C15","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"C16","10uF","Capacitor_SMD:C_0402_1005Metric","~"
"H1","MountingHole_Pad","TestPoint:TestPoint_Pad_D4.0mm","~"
"H2","MountingHole_Pad","TestPoint:TestPoint_Pad_D4.0mm","~"
"R13","10k","Resistor_SMD:R_0402_1005Metric","~"
"C26","100nF","Capacitor_SMD:C_0402_1005Metric","~"
"TP1","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
"C35","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"TP5","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
